,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.3198987117413219,0.1274969528237519,0.44351712,0.029908422,2.509069469162456,14.829171
1,0.5537791946674832,0.05949464933571749,0.5776227,0.03187929,9.308050402022001,18.119059
2,0.6502132583497086,0.08159899839371912,0.6847041,0.04640098,7.96839754346491,14.756243
3,0.8389509007275137,0.08201588366755347,0.8452273,0.06221937,10.229127130156293,13.584633
4,1.0372866469474578,0.08778435502445628,1.0304052,0.10236906,11.816304245311992,10.065592
5,1.3205710357243081,0.07496294199419172,1.3250476,0.06991682,17.616318151262373,18.95177
6,1.698031147534929,0.17553788584232277,1.7054251,0.16776305,9.67330294190844,10.165678
7,2.0633040485799925,0.11525053314879179,2.073231,0.08488214,17.90277226671227,24.42482
8,2.3413800998066234,0.2146016381645454,2.3508046,0.1668108,10.910355204331548,14.092641
9,2.9630590527714302,0.2942118669123695,2.9867861,0.31909594,10.071174503827788,9.360151
