,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.34798836444218556,0.13737841477187634,0.42079576221517767,0.13447889188134035,2.5330643465353524,3.1290840988374122
1,0.5820791622903175,0.18782261144575368,0.6449574064004683,0.04323307301117033,3.0990899221866677,14.918148571900675
2,0.6717740332208326,0.08216217966828032,0.7809138862821724,0.05396784734361714,8.176195372774158,14.469983976015161
3,0.7774385257949551,0.19783447415421615,0.9013552816180048,0.03923445239530264,3.9297424228950377,22.97356600103637
4,1.0895480450429988,0.1586222043671411,1.194896328714633,0.07134881700696225,6.868824256919107,16.747247941028014
5,1.321250481379586,0.24519191567282625,1.4094322697783563,0.07800341243684451,5.388638029740781,18.06885398660608
6,1.7206498392127527,0.3681904626319143,1.6856902036376782,0.17781652050396024,4.673260211340436,9.479941452347424
7,2.14181728236022,0.2780820676485836,2.049604736302104,0.046355559149203966,7.702104995374481,44.21486384632038
8,2.1566768245096752,0.23957342682550137,2.3059380804315386,0.12798527717961758,9.002153757564017,18.017213629934403
9,2.9719662712814094,0.2830140017512291,2.849100241183592,0.3177943906017624,10.501128046285796,8.96523137425004
