,DM Statistic
OLS vs Weighted OLS,-2.3327248243783085
OLS vs Huber,1.8627807498994344
OLS vs ElasticNet,-0.6960164606896265
OLS vs PCR,-0.6903192063270936
OLS vs PLS,1.0179434796290492
OLS vs GLM,-1.018081612074063
OLS vs NN,-0.8989385259980761
OLS vs GBR,-3.2319569492120994
OLS vs RF,-2.418021051689519
Weighted OLS vs Huber,2.7785783360664413
Weighted OLS vs ElasticNet,0.027746418149498586
Weighted OLS vs PCR,0.7757870174035957
Weighted OLS vs PLS,2.3252038168899056
Weighted OLS vs GLM,-0.3019005427369957
Weighted OLS vs NN,1.7152408443083325
Weighted OLS vs GBR,-2.6312691271407997
Weighted OLS vs RF,-1.877973277853432
Huber vs ElasticNet,-0.9652926227210401
Huber vs PCR,-1.1853859507358808
Huber vs PLS,-1.8480906066431222
Huber vs GLM,-1.2975174963346177
Huber vs NN,-1.6974646104008981
Huber vs GBR,-3.385466878611672
Huber vs RF,-2.646320716602417
ElasticNet vs PCR,0.3521056428000713
ElasticNet vs PLS,0.6985117764565164
ElasticNet vs GLM,-1.8001085787351885
ElasticNet vs NN,0.43369179596909424
ElasticNet vs GBR,-1.5940265337503194
ElasticNet vs RF,-1.2217612059001188
PCR vs PLS,0.6933368133650448
PCR vs GLM,-0.6747409661907754
PCR vs NN,0.18428845048000406
PCR vs GBR,-2.656570239040493
PCR vs RF,-2.2040365889273077
PLS vs GLM,-1.0206768979576504
PLS vs NN,-0.9046895081152464
PLS vs GBR,-3.2312532583666953
PLS vs RF,-2.4172311848034918
GLM vs NN,0.7536368203162433
GLM vs GBR,-1.2625001504689415
GLM vs RF,-0.9102528305557633
NN vs GBR,-3.3866697694856764
NN vs RF,-2.3240513516993166
GBR vs RF,0.6400305347422545
