,OLS,Weighted OLS,Huber,ElasticNet,PCR,PLS,GLM,Neural Network,Boosted Regression Trees,Random Forest
Var1,0.024982211270874743,0.024977521935143798,0.023816529920867913,0.019398714886901924,0.024982211270874743,0.0249502218391644,0.0347320875248589,0.01953762242607071,0.011522695097739954,0.002264564213024456
Var2,-1.7121698745903302e-05,-4.303626192336818e-05,2.054665500761388e-05,-0.00011316075270106918,-1.7121698745903302e-05,-8.384715825315858e-06,3.205607575418323e-05,-6.383702879464437e-05,0.003964468594488735,0.0010653692476839671
Var3,0.007736911055401863,0.00674309963989006,0.007286732232680393,0.005128433423044032,0.007736911055401863,0.007719422968062384,0.006957865501287297,0.0063338519370068624,0.0031699588977667226,0.0014777129408046763
Var4,0.0002927367067455666,0.00024439476179138886,0.000294447182683677,0.0013067510584041653,0.00029273670674567764,0.00029622283950625494,0.0018740192985877702,0.0005044491209924562,0.004640836577094021,0.0046228249967165125
Var5,0.0014218456378798372,0.0015004065077919293,0.0017362102046750705,0.0015271422227816078,0.0014218456378798372,0.0014412390495605054,0.001531038775359983,0.0008516448509506835,0.010313219949428132,0.004747177596439278
Var6,0.028038081054131303,0.027401320092350412,0.02872563888695623,0.02852769236202901,0.028038081054131303,0.028174974545725817,0.027494880682349176,0.025183293127273854,0.12680594151186042,0.16542495282326763
Var7,0.000407618269936183,0.00035370507219589786,0.00044328573734464527,0.0015581687007171219,0.000407618269936183,0.0005018908197599314,0.0021031451427587777,0.0005058583863098987,0.00016496332105142564,0.0007773804485883273
Var8,0.008857683801149596,0.009905331188338806,0.008658944345580455,0.010862580289395352,0.008857683801149596,0.008498860219070536,0.010967376047396837,0.01028313192513941,0.011732608471421768,0.015108908149541467
Var9,0.010744684811187066,0.011141255038047526,0.010208095584543497,0.010195066563303268,0.010744684811187066,0.010830707237060588,0.014734478958343677,0.008959042405945139,0.025619401342857784,0.013857981049021473
Var10,0.01378076823677954,0.012352115049836243,0.01453271427855285,0.009785633776785652,0.01378076823677965,0.01370690205260705,0.010656223143414967,0.009857330704449052,0.004969332025661077,0.0036566784982382528
Var11,0.02049833954729552,0.02009751095020129,0.021082074531498796,0.02283626894760382,0.02049833954729563,0.020555798818810977,0.019251842031477895,0.022133093569014273,0.014470840338907442,0.021758530116223862
Var12,4.6764043722946624e-06,4.914786293386264e-06,1.3916496685029145e-06,0.0,4.6764043722946624e-06,-1.6412324388426214e-08,-5.8882258826664646e-05,9.157841748497209e-05,0.0007828306062396262,-0.0007391857402313518
Var13,0.005403523265221977,0.005071928148772886,0.005811412066602517,0.005635525569443467,0.005403523265221977,0.00575405722881317,0.005811042424537338,0.004029352715807066,0.01959649567897903,0.015696150311203305
Var14,0.009331156228478354,0.008557867999383295,0.010499690620175306,0.007778544702094048,0.009331156228478354,0.009316049444148433,0.007964939975155017,0.007057449194579513,0.005964954388052668,0.002321203654513604
Var15,0.00010579194234405787,0.0002145822715554635,1.1177523167704706e-05,0.0017534108712351504,0.00010579194234405787,0.00011865204701222432,0.003231172807593663,0.00042632816733712,0.0012756025934993476,0.004624528885800228
